player_name,team,age,PW,final_commercial_score,athletic_score,attendance_rate,salary
Nikola Jokić,DEN,30.0,0.68595273,1.0,0.888970712,85.37,55224526.0
Giannis Antetokounmpo,MIL,30.0,0.68595273,1.0,0.827412642,81.71,54126450.0
Jayson Tatum,BOS,27.0,0.748344487,0.003420272,0.759892597,87.8,54126450.0
Karl-Anthony Towns,NYK,29.0,0.707097586,0.572041005,0.744902717,87.8,53142264.0
Anthony Edwards,MIN,23.0,0.828917512,0.726600581,0.744563637,96.34,45550512.0
James Harden,LAC,35.0,0.571223619,0.383599292,0.733056379,96.34,39182693.0
Cade Cunningham,DET,23.0,0.828917512,0.948196073,0.732094395,85.37,46394100.0
Alperen Sengun,HOU,22.0,0.849107881,0.314181722,0.727603547,92.68,33944954.0
Donovan Mitchell,CLE,28.0,0.727866765,0.671018596,0.72218291,86.59,46394100.0
Stephen Curry,GSW,37.0,0.518940084,0.869595283,0.721154649,85.37,59606817.0
Luka Dončić,LAL,26.0,0.768611258,0.941874688,0.706813002,60.98,45999660.0
Trae Young,WAS,26.0,0.768611258,0.04691431,0.705535255,92.68,43031940.0
Ivica Zubac,LAC,28.0,0.727866765,0.01916986,0.700584913,97.56,18102000.0
Devin Booker,PHX,28.0,0.727866765,0.39922425,0.69944841,91.46,53142264.0
Tyrese Haliburton,IND,25.0,0.788744956,0.00035658,0.695015683,89.02,45550512.0
Pascal Siakam,IND,31.0,0.664343084,0.33604331,0.693443846,95.12,45550512.0
Tyler Herro,MIA,25.0,0.788744956,0.075748167,0.688425555,93.9,31000000.0
Franz Wagner,ORL,23.0,0.828917512,0.115949398,0.680032303,73.17,38661750.0
Jarrett Allen,CLE,27.0,0.748344487,0.028286003,0.679469729,100.0,20000000.0
LeBron James,LAL,40.0,0.429695951,0.595119554,0.678620603,85.37,52627153.0
Jalen Brunson,NYK,28.0,0.727866765,0.899075672,0.677001043,79.27,34944001.0
Evan Mobley,CLE,24.0,0.808821839,0.071821941,0.675973387,86.59,46394100.0
Domantas Sabonis,SAC,29.0,0.707097586,0.004612379,0.675624122,85.37,42336000.0
Bam Adebayo,MIA,27.0,0.748344487,0.15129064,0.668935414,95.12,37096620.0
Kevin Durant,HOU,36.0,0.545677923,0.631846819,0.667187452,75.61,54708609.0
Derrick White,BOS,30.0,0.68595273,0.159558367,0.66433755,92.68,26350000.0
Jamal Murray,DEN,28.0,0.727866765,0.441127738,0.66368261,81.71,46394100.0
Jalen Green,PHX,23.0,0.828917512,0.001604334,0.662853502,100.0,33333333.0
Darius Garland,CLE,25.0,0.788744956,0.056523548,0.661669341,91.46,39446090.0
Jalen Williams,OKC,24.0,0.808821839,0.228276109,0.660644209,84.15,6580997.0
Victor Wembanyama,SAS,21.0,0.869470112,0.726600581,0.656943666,56.1,13376880.0
Austin Reaves,LAL,27.0,0.748344487,0.326979463,0.654616162,89.02,13937574.0
DeMar DeRozan,SAC,35.0,0.571223619,0.07461802,0.654448462,93.9,24750000.0
Jaren Jackson Jr.,MEM,25.0,0.788744956,0.0,0.651661203,90.24,35000000.0
Jaylen Brown,BOS,28.0,0.727866765,0.875478066,0.649895643,76.83,53142264.0
Anthony Davis,DAL,32.0,0.642173322,0.252238531,0.645305742,62.2,54126450.0
Michael Porter Jr.,BKN,27.0,0.748344487,0.462397958,0.642975924,93.9,38333050.0
Josh Hart,NYK,30.0,0.68595273,0.197399635,0.639262524,93.9,19472240.0
Deni Avdija,POR,24.0,0.808821839,0.644586155,0.638540056,87.8,14375000.0
Naz Reid,MIN,25.0,0.788744956,0.022496717,0.637733608,97.56,21551724.0
Payton Pritchard,BOS,27.0,0.748344487,0.08652796,0.636977711,97.56,7232143.0
Mikal Bridges,NYK,28.0,0.727866765,0.21379875,0.636933134,100.0,24900000.0
De'Aaron Fox,SAS,27.0,0.748344487,0.237575114,0.636017828,75.61,37096620.0
Nikola Vučević,CHI,34.0,0.595731822,0.0,0.634068976,89.02,21481481.0
Christian Braun,DEN,24.0,0.808821839,0.01916986,0.633778473,96.34,4921797.0
Desmond Bane,ORL,27.0,0.748344487,0.039988057,0.632519218,84.15,36725670.0
Damian Lillard,POR,34.0,0.595731822,0.001851715,0.632027908,70.73,48787676.0
Julius Randle,MIN,30.0,0.68595273,0.228276109,0.631098646,84.15,30864198.0
OG Anunoby,NYK,27.0,0.748344487,0.302125322,0.630908065,90.24,39568966.0
Dyson Daniels,ATL,22.0,0.849107881,0.00525848,0.626532659,92.68,7707709.0
Coby White,CHI,25.0,0.788744956,0.03594789,0.626526745,90.24,12888889.0
Scottie Barnes,TOR,23.0,0.828917512,0.363957697,0.624576649,79.27,38661750.0
Amen Thompson,HOU,22.0,0.849107881,0.169200648,0.624454267,84.15,9690600.0
Zach LaVine,SAC,30.0,0.68595273,0.031603608,0.624360817,90.24,45999660.0
Tyrese Maxey,PHI,24.0,0.808821839,0.923309293,0.62221516,63.41,37958760.0
Kyrie Irving,DAL,33.0,0.619340398,0.033556649,0.61666597,60.98,36566002.0
Jalen Duren,DET,21.0,0.869470112,0.132446839,0.614764288,95.12,6483144.0
Rudy Gobert,MIN,33.0,0.619340398,0.098688801,0.613982976,87.8,35000000.0
Norman Powell,MIA,32.0,0.642173322,0.286472403,0.613402471,73.17,20482758.0
LaMelo Ball,CHA,23.0,0.828917512,0.257557099,0.613023367,57.32,37958760.0
Myles Turner,MIL,29.0,0.707097586,0.000657289,0.609946982,87.8,25318251.0
Aaron Wiggins,OKC,26.0,0.768611258,0.000897996,0.609519129,92.68,9672897.0
Malik Beasley,DET,28.0,0.727866765,0.0,0.6088699,100.0,6000000.0
Jaden McDaniels,MIN,24.0,0.808821839,0.130519774,0.60566122,100.0,24393103.0
Josh Giddey,CHI,22.0,0.849107881,0.168277772,0.605252769,85.37,25000000.0
Ja Morant,MEM,25.0,0.788744956,0.135837391,0.593387423,60.98,39446090.0
RJ Barrett,TOR,25.0,0.788744956,0.016598701,0.591605128,70.73,25796429.0
Ty Jerome,CLE,27.0,0.748344487,0.0,0.587559317,85.37,2560975.0
Stephon Castle,SAS,20.0,0.890083625,0.290069115,0.586807507,98.78,9560520.0
Miles Bridges,CHA,27.0,0.748344487,0.011123349,0.586344935,78.05,25000000.0
Tobias Harris,DET,32.0,0.642173322,0.00459806,0.582945596,89.02,26634146.0
Shaedon Sharpe,POR,22.0,0.849107881,0.118118438,0.582581906,87.8,8399983.0
Paolo Banchero,ORL,22.0,0.849107881,0.128969555,0.582297898,56.1,15334769.0
Brook Lopez,LAC,37.0,0.518940084,0.00016573,0.582092599,97.56,8750000.0
Malik Monk,SAC,27.0,0.748344487,0.000626536,0.581576071,79.27,18797619.0
Isaiah Hartenstein,OKC,27.0,0.748344487,0.057553832,0.576104915,69.51,28500000.0
Jonas Valančiūnas,DEN,33.0,0.619340398,0.000879352,0.573952001,98.78,10395000.0
Harrison Barnes,SAS,33.0,0.619340398,0.014485299,0.572467278,100.0,19000000.0
Onyeka Okongwu,ATL,24.0,0.808821839,0.004241966,0.571516921,90.24,15000000.0
Julian Champagnie,SAS,24.0,0.808821839,0.000774978,0.570971006,100.0,3000000.0
Fred VanVleet,HOU,31.0,0.664343084,0.000217569,0.567007473,73.17,25000000.0
Nickeil Alexander-Walker,ATL,26.0,0.768611258,0.101506157,0.566141754,100.0,15161800.0
Jaylen Wells,MEM,21.0,0.869470112,0.00541881,0.565933346,96.34,1955377.0
Anfernee Simons,BOS,26.0,0.768611258,0.023473412,0.565253535,85.37,27678571.0
Zach Edey,MEM,23.0,0.828917512,0.007626321,0.564740509,80.49,6045000.0
Keegan Murray,SAC,24.0,0.808821839,0.001928981,0.563988341,92.68,11144093.0
Obi Toppin,IND,27.0,0.748344487,2.41e-05,0.563930593,96.34,14000000.0
Toumani Camara,POR,25.0,0.788744956,0.02295118,0.563013865,95.12,2221677.0
Kawhi Leonard,LAC,34.0,0.595731822,0.459095696,0.561291386,45.12,50000000.0
Chris Paul,LAC,40.0,0.429695951,0.001018021,0.560100259,100.0,3634153.0
Cameron Johnson,DEN,29.0,0.707097586,0.006760436,0.557409592,69.51,20543478.0
Isaiah Joe,OKC,25.0,0.788744956,0.000362556,0.556664313,90.24,2164993.0
De'Andre Hunter,CLE,27.0,0.748344487,0.000306527,0.555577948,78.05,21696429.0
Scotty Pippen Jr.,MEM,24.0,0.808821839,0.0,0.555458382,96.34,2270735.0
Brandin Podziemski,GSW,22.0,0.849107881,0.001418133,0.555124908,78.05,3687960.0
Bennedict Mathurin,IND,23.0,0.828917512,0.015322311,0.55456723,87.8,9187573.0
T.J. McConnell,IND,33.0,0.619340398,0.003070517,0.554535318,96.34,10200000.0
CJ McCollum,ATL,33.0,0.619340398,0.017047303,0.551935088,68.29,33333333.0
Draymond Green,GSW,35.0,0.571223619,0.118118438,0.548789956,82.93,25892857.0
Dillon Brooks,PHX,29.0,0.707097586,0.237575114,0.547525076,91.46,21124110.0
Russell Westbrook,SAC,36.0,0.545677923,0.092950105,0.547500167,91.46,3634153.0
Buddy Hield,GSW,32.0,0.642173322,0.006897646,0.546698308,100.0,9219512.0
Dennis Schröder,SAC,31.0,0.664343084,0.003079296,0.545735592,91.46,13025250.0
Naji Marshall,DAL,27.0,0.748344487,0.00289768,0.54521035,84.15,9000000.0
Jordan Poole,NOP,26.0,0.768611258,0.025876962,0.544847034,82.93,31848215.0
Keldon Johnson,SAS,25.0,0.788744956,0.006114004,0.542684627,93.9,17500000.0
Quentin Grimes,PHI,25.0,0.788744956,0.004129443,0.542210694,91.46,8741209.0
Luguentz Dort,OKC,26.0,0.768611258,0.064881999,0.541305785,86.59,17722222.0
Santi Aldama,MEM,24.0,0.808821839,0.013640736,0.540354264,79.27,18485916.0
Jakob Poeltl,TOR,29.0,0.707097586,0.000537925,0.540003347,69.51,19500000.0
Zion Williamson,NOP,24.0,0.808821839,0.082453972,0.539723398,36.59,39446090.0
Collin Sexton,CHA,26.0,0.768611258,0.0,0.539440964,76.83,18975000.0
Kevin Porter Jr.,MIL,25.0,0.788744956,0.010830223,0.538103464,91.46,5134000.0
Luke Kornet,SAS,29.0,0.707097586,0.002782506,0.536857046,89.02,11000000.0
Spencer Dinwiddie,DAL,32.0,0.642173322,0.0,0.53584733,96.34,3000000.0
Tyus Jones,ORL,29.0,0.707097586,0.0,0.534647144,98.78,7000000.0
Georges Niang,UTA,32.0,0.642173322,6.83e-05,0.533945168,96.34,8500000.0
Goga Bitadze,ORL,25.0,0.788744956,0.0,0.533786218,85.37,8333333.0
Derrick Jones Jr.,LAC,28.0,0.727866765,0.0,0.53355501,93.9,10000000.0
Devin Vassell,SAS,24.0,0.808821839,0.014198141,0.532304573,78.05,27000000.0
Tari Eason,HOU,24.0,0.808821839,0.003272119,0.530771133,69.51,5675766.0
Caris LeVert,DET,30.0,0.68595273,0.0,0.529933469,78.05,14104000.0
Miles McBride,NYK,24.0,0.808821839,4.53e-05,0.529482493,78.05,4333333.0
Lauri Markkanen,UTA,28.0,0.727866765,0.247252846,0.529004812,57.32,46394100.0
Keon Ellis,SAC,25.0,0.788744956,1.11e-05,0.52892625,97.56,2120693.0
Andrew Wiggins,MIA,30.0,0.68595273,0.019478324,0.528415062,73.17,28223215.0
Guerschon Yabusele,NYK,29.0,0.707097586,4.06e-05,0.526379333,85.37,5500000.0
Duncan Robinson,DET,31.0,0.664343084,0.003329315,0.525254161,90.24,16834692.0
Zaccharie Risacher,ATL,20.0,0.890083625,0.0,0.525163355,91.46,13197720.0
Sam Hauser,BOS,27.0,0.748344487,0.0,0.524197526,86.59,10044644.0
Davion Mitchell,MIA,26.0,0.768611258,0.000389967,0.523819563,90.24,11600000.0
Ronald Holland II,DET,19.0,0.911031151,0.000117338,0.523519734,98.78,6500000.0
Scoot Henderson,POR,21.0,0.869470112,2.5e-05,0.523242788,80.49,10748040.0
Anthony Black,ORL,21.0,0.869470112,0.00525848,0.523136317,95.12,7970280.0
Jrue Holiday,POR,35.0,0.571223619,0.01916986,0.520985051,75.61,32400000.0
Tim Hardaway Jr.,DEN,33.0,0.619340398,0.0,0.519903572,93.9,3634153.0
Cason Wallace,OKC,21.0,0.869470112,0.005756003,0.519250938,82.93,5820240.0
Moses Moody,GSW,23.0,0.828917512,0.006494097,0.519119219,90.24,11574075.0
Kristaps Porziņģis,ATL,29.0,0.707097586,0.0,0.518950324,51.22,30731707.0
D'Angelo Russell,DAL,29.0,0.707097586,8.8e-05,0.518888997,70.73,5685000.0
Keyonte George,UTA,21.0,0.869470112,0.12793952,0.518412866,81.71,4278960.0
Klay Thompson,DAL,35.0,0.571223619,0.034925183,0.518109468,87.8,16666667.0
P.J. Washington,DAL,26.0,0.768611258,0.025876962,0.518075552,69.51,14152174.0
Wendell Carter Jr.,ORL,26.0,0.768611258,0.000279538,0.517942639,82.93,10850000.0
Trey Murphy III,NOP,25.0,0.788744956,0.0,0.517894633,64.63,25000000.0
Daniel Gafford,DAL,26.0,0.768611258,0.008954573,0.517697957,69.51,14386320.0
Matas Buzelis,CHI,20.0,0.890083625,0.009996202,0.517253581,97.56,5455560.0
Walker Kessler,UTA,23.0,0.828917512,0.000825603,0.517223754,70.73,4878938.0
Rui Hachimura,LAL,27.0,0.748344487,0.004086669,0.516000787,71.95,18259259.0
Mike Conley,MIN,37.0,0.518940084,0.000183278,0.515874586,86.59,10774038.0
Kevin Huerter,CHI,26.0,0.768611258,0.0,0.514811638,84.15,17991071.0
AJ Green,MIL,25.0,0.788744956,2.79e-05,0.514575145,89.02,2301587.0
Max Christie,DAL,22.0,0.849107881,0.003407234,0.514574354,95.12,7714286.0
Al Horford,GSW,39.0,0.461163605,0.009509956,0.514498972,73.17,5685000.0
Donte DiVincenzo,MIN,28.0,0.727866765,0.068888629,0.513433412,75.61,11990000.0
Kris Dunn,LAC,31.0,0.664343084,0.000316511,0.51342682,90.24,5426400.0
Jalen Johnson,ATL,23.0,0.828917512,0.557026487,0.512216343,43.9,30000000.0
Jabari Smith Jr.,HOU,22.0,0.849107881,0.0,0.512054432,69.51,12350392.0
Taurean Prince,MIL,31.0,0.664343084,0.0,0.510414482,97.56,3303774.0
John Collins,LAC,27.0,0.748344487,0.000414459,0.509721065,48.78,26580000.0
Aaron Gordon,DEN,29.0,0.707097586,0.130519774,0.509671667,62.2,22841455.0
Jalen Smith,CHI,25.0,0.788744956,0.0,0.509277481,78.05,9000000.0
Royce O'Neale,PHX,32.0,0.642173322,0.001333068,0.508773657,91.46,10125000.0
Keon Johnson,BKN,23.0,0.828917512,0.0,0.508650991,96.34,2165000.0
Kevon Looney,NOP,29.0,0.707097586,0.000825603,0.508069189,92.68,8000000.0
Brandon Clarke,MEM,28.0,0.727866765,0.0,0.507328582,78.05,12500000.0
Dorian Finney-Smith,HOU,32.0,0.642173322,0.0,0.506991963,76.83,12700000.0
Andrew Nembhard,IND,25.0,0.788744956,0.044481723,0.505905548,79.27,18102000.0
Kenrich Williams,OKC,30.0,0.68595273,0.0,0.505500533,84.15,7163000.0
Sam Merrill,CLE,29.0,0.707097586,0.000507707,0.503967145,86.59,8482144.0
Donovan Clingan,POR,21.0,0.869470112,0.016333994,0.503427624,81.71,7178400.0
Jalen Wilson,BKN,24.0,0.808821839,0.0,0.503010812,96.34,2221677.0
Kyle Filipowski,UTA,21.0,0.869470112,6.39e-05,0.501964506,87.8,9219512.0
Gary Trent Jr.,MIL,26.0,0.768611258,0.0,0.500194707,90.24,3697105.0
Bobby Portis,MIL,30.0,0.68595273,0.001357653,0.499801134,59.76,13445754.0
Ausar Thompson,DET,22.0,0.849107881,0.011733516,0.499283163,71.95,8775000.0
Dalton Knecht,LAL,24.0,0.808821839,7.86e-06,0.498595018,95.12,4010160.0
Kelly Oubre Jr.,PHI,29.0,0.707097586,8.61e-05,0.49797033,73.17,8382150.0
Jaime Jaquez Jr.,MIA,24.0,0.808821839,0.008982806,0.496511494,80.49,3861600.0
Mason Plumlee,CHA,35.0,0.571223619,0.0,0.496334762,90.24,3634153.0
Jamal Shead,TOR,22.0,0.849107881,0.000522615,0.495279,91.46,1955377.0
Chet Holmgren,OKC,23.0,0.828917512,0.290069115,0.495176964,39.02,13731368.0
Cameron Payne,NYK,30.0,0.68595273,0.0,0.495167106,87.8,3000000.0
Isaiah Stewart,DET,24.0,0.808821839,0.00525848,0.495053457,87.8,15000000.0
Joel Embiid,PHI,31.0,0.664343084,0.271630329,0.494163693,23.17,55224526.0
Kel'el Ware,MIA,21.0,0.869470112,0.003154499,0.491557445,78.05,4443360.0
Cole Anthony,MIL,25.0,0.788744956,0.0,0.490045797,81.71,2667947.0
Kentavious Caldwell-Pope,MEM,32.0,0.642173322,0.000114257,0.489026849,93.9,21621500.0
Yves Missi,NOP,21.0,0.869470112,0.0,0.488461259,89.02,3353040.0
Luke Kennard,ATL,29.0,0.707097586,0.0,0.487544821,79.27,11000000.0
Mark Williams,PHX,23.0,0.828917512,0.017695353,0.484903499,53.66,6276531.0
Paul George,PHI,35.0,0.571223619,0.075748167,0.484261329,50.0,51666090.0
Haywood Highsmith,MIA,28.0,0.727866765,0.0,0.483968435,90.24,2500000.0
Julian Phillips,CHI,21.0,0.869470112,0.0,0.482104397,96.34,2221677.0
Grayson Allen,PHX,29.0,0.707097586,0.032892599,0.481887939,78.05,16875000.0
Nicolas Batum,LAC,36.0,0.545677923,4.41e-05,0.48182762,95.12,5601600.0
Jake LaRavia,LAL,23.0,0.828917512,0.001418133,0.481115085,80.49,6000000.0
Ryan Dunn,PHX,22.0,0.849107881,0.00022287,0.480216973,90.24,2657760.0
