Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,,
5,Karl-Anthony Towns,NYK,29,2.4,0.7,0.265,378,87.8,39.30555556,0.744902717,
22,Jalen Brunson,NYK,28,2.9,1.7,0.289,146,79.27,34.70769231,0.677001043,
39,Josh Hart,NYK,30,0.3,0,0.151,203,93.9,28.94805195,0.639262524,
43,Mikal Bridges,NYK,28,-0.5,-0.9,0.192,334,100,24.32926829,0.636933134,
50,OG Anunoby,NYK,27,0.3,-1.3,0.195,301,90.24,26.04054054,0.630908065,
124,Miles McBride,NYK,24,2.1,-0.9,0.162,211,78.05,15.65625,0.529482493,
128,Guerschon Yabusele,NYK,29,0.9,0.9,0.163,-118,85.37,18.65714286,0.526379333,
281,Jordan Clarkson,NYK,33,-1.5,0.6,0.269,-204,45.12,21.89189189,0.41256846,
314,Landry Shamet,NYK,28,-0.3,-0.3,0.143,88,60.98,7.54,0.375303699,
366,Tosan Evbuomwan,NYK,24,-1.7,-0.2,0.183,-66,34.15,15.60714286,0.330233289,
387,Tyler Kolek,NYK,24,-0.9,-0.9,0.152,-1,50,4.292682927,0.312655843,
414,Mitchell Robinson,NYK,27,0.4,-0.4,0.109,23,20.73,13.23529412,0.291833711,
421,Trey Jemison III,NYK,25,-1.6,0.3,0.121,-18,46.34,5.684210526,0.286719166,
489,Ariel Hukporti,NYK,23,-2.4,-0.1,0.113,-63,30.49,4.2,0.216793104,
546,Kevin McCullar Jr.,NYK,24,-1.7,0.6,0.118,-2,4.88,4.5,0.14831324,
577,Pacome Dadiet,NYK,,0,0.4,,,,,0.074834326,
626,Mohamed Diawara,NYK,,-1.2,0.6,,,,,0.058191451,