Player,Team,RAPM_offense_normalized,USG_percent_normalized,PLUS_MINUS_value_normalized,Attendance_normalized,Performance_normalized,RAPM_defense_normalized
Harrison Barnes,SAS,0.5824175824175825,0.34505494505494505,0.373421926910299,1.0,0.34419813957874457,0.34722222222222227
Landry Shamet,NYK,0.39560439560439564,0.3142857142857142,0.4485049833887043,0.6049807653371128,0.14576083954708643,0.5694444444444444
Jabari Walker,PHI,0.43956043956043955,0.34285714285714286,0.4,0.7283863130188297,0.18236214673662893,0.513888888888889
Jonas Valančiūnas,DEN,0.4945054945054945,0.4879120879120879,0.18803986710963455,0.9876493217250456,0.3811442852223484,0.4444444444444445
Malik Monk,SAC,0.5054945054945055,0.5186813186813186,0.467109634551495,0.7901397043936019,0.49489091411212377,0.4305555555555555
Jalen Johnson,ATL,0.3076923076923077,0.4703296703296703,0.42657807308970097,0.43207126948775054,0.6476111571389119,0.6805555555555557
Dominick Barlow,PHI,0.4285714285714286,0.30989010989010984,0.38870431893687707,0.4197205912127961,0.15023474178403756,0.5277777777777778
Jakob Poeltl,TOR,0.38461538461538464,0.4043956043956044,0.3654485049833887,0.6913342781939664,0.5273816964393864,0.5833333333333334
Gabe Vincent,LAL,0.39560439560439564,0.2879120879120879,0.4219269102990033,0.8764932172504555,0.1806974746079965,0.5694444444444444
Jarred Vanderbilt,LAL,0.38461538461538464,0.2549450549450549,0.4132890365448505,0.43207126948775054,0.20727852956519066,0.5833333333333334
Pete Nance,MIL,0.3626373626373626,0.2549450549450549,0.38073089700996676,0.1481069042316258,0.10260658976483336,0.611111111111111
Guerschon Yabusele,NYK,0.5274725274725275,0.35824175824175825,0.3116279069767442,0.8518930957683742,0.3606738470035902,0.4027777777777778
Tyler Kolek,NYK,0.32967032967032966,0.33406593406593404,0.3893687707641196,0.4938246608625228,0.08298475693953294,0.6527777777777779
Reed Sheppard,HOU,0.4505494505494505,0.3758241758241758,0.3568106312292359,0.6295808868191941,0.14758991353854653,0.5
Cui Yongxi,BKN,0.4285714285714286,,,,,0.5277777777777778
Tolu Smith,DET,0.38461538461538464,0.43956043956043955,0.3946843853820598,0.0,0.38663352665009665,0.5833333333333334
Christian Koloko,ATL,0.29670329670329676,0.22857142857142856,0.3853820598006645,0.444421947762705,0.10972032513043284,0.6805555555555557
Luguentz Dort,OKC,0.39560439560439564,0.2923076923076923,0.7534883720930232,0.8642437740433286,0.32509889494381367,0.5555555555555556
Cody Zeller,ATL,0.39560439560439564,,,,,0.5555555555555556
Domantas Sabonis,SAC,0.4505494505494505,0.4681318681318681,0.4857142857142857,0.8518930957683742,0.7191383595691798,0.48611111111111116
Keegan Murray,SAC,0.31868131868131866,0.32527472527472523,0.4205980066445183,0.9258959303502734,0.4141048561752351,0.6527777777777779
Moritz Wagner,ORL,0.4505494505494505,0.5582417582417583,0.3787375415282392,0.35806843490585144,0.36279112584000733,0.48611111111111116
Markelle Fultz,SAC,0.37362637362637363,0.4307692307692308,0.39335548172757473,0.2469123304312614,0.09665838166252416,0.5833333333333334
Mason Plumlee,CHA,0.4945054945054945,0.23076923076923075,0.42591362126245846,0.9011945738003644,0.24634825380475756,0.4305555555555555
Drew Peterson,CHA,0.39560439560439564,0.26593406593406593,0.4205980066445183,0.2963150435310792,0.08196630764982049,0.5555555555555556
Jaylen Clark,MIN,0.32967032967032966,0.25274725274725274,0.4192691029900332,0.48147398258756835,0.13145539906103287,0.638888888888889
Daeqwon Plowden,ATL,0.37362637362637363,0.3978021978021978,0.40930232558139534,0.061753391374772225,0.16754119488170854,0.5833333333333334
Donte DiVincenzo,MIN,0.43956043956043955,0.41318681318681316,0.5056478405315614,0.7530876695687386,0.363872036774728,0.5
Richaun Holmes,WAS,0.4175824175824176,0.3142857142857142,0.3661129568106312,0.37031787811297834,0.28685713267587815,0.5277777777777778
Riley Minix,SAS,0.4175824175824176,0.13846153846153847,0.39003322259136214,0.0,0.03866335266500966,0.5277777777777778
Jackson Rowe,GSW,0.4065934065934066,0.31208791208791203,0.4053156146179402,0.061753391374772225,0.1288778422166989,0.5416666666666667
Yanic Konan Niederhäuser,LAC,0.4285714285714286,,,,,0.513888888888889
Mark Sears,MIL,0.4285714285714286,,,,,0.513888888888889
Max Strus,CLE,0.38461538461538464,0.3142857142857142,0.5368770764119601,0.6049807653371128,0.32090582711958027,0.5694444444444444
Kris Dunn,LAC,0.38461538461538464,0.27692307692307694,0.5641196013289037,0.9011945738003644,0.2654186912679042,0.5694444444444444
Cory Joseph,ORL,0.46153846153846156,0.27692307692307694,0.4132890365448505,0.6049807653371128,0.12952223142778238,0.47222222222222227
Ryan Rollins,MIL,0.3626373626373626,0.3934065934065934,0.44518272425249167,0.678983599919012,0.19573322286661143,0.5833333333333334
Matisse Thybulle,POR,0.29670329670329676,0.2967032967032967,0.39069767441860465,0.17280826078153472,0.28482003129890454,0.6666666666666667
CJ McCollum,ATL,0.5604395604395604,0.5846153846153846,0.20465116279069767,0.678983599919012,0.5475006904170119,0.33333333333333337
Scotty Pippen Jr.,MEM,0.3516483516483517,0.41318681318681316,0.4192691029900332,0.9629479651751367,0.33769257390957813,0.5972222222222222
Javonte Green,DET,0.27472527472527475,0.24835164835164836,0.24916943521594684,0.8271917392184653,0.19473821011420314,0.6944444444444445
Nate Williams,HOU,0.4505494505494505,0.4659340659340659,0.3740863787375415,0.23456165215630695,0.08215962441314555,0.47222222222222227
E.J. Liddell,BKN,0.4175824175824176,0.2857142857142857,0.3847176079734219,0.1357562259566714,0.05316210991438829,0.513888888888889
Branden Carlson,OKC,0.4285714285714286,0.4065934065934066,0.41727574750830565,0.38266855638793285,0.1262600110466722,0.5
Phillip Wheeler,PHI,0.4065934065934066,0.4857142857142857,0.39867109634551495,0.04940271309981777,0.07732670533001933,0.5277777777777778
Ryan Nembhard,DAL,0.4505494505494505,,,,,0.47222222222222227
Luke Kennard,ATL,0.5274725274725275,0.3076923076923077,0.47109634551495017,0.7901397043936019,0.28462175769549425,0.375
Jake LaRavia,LAL,0.5274725274725275,0.3076923076923077,0.47375415282392025,0.8024903826685563,0.25599825931226095,0.375
Collin Murray-Boyles,TOR,0.3076923076923077,,,,,0.6527777777777779
Aaron Holiday,HOU,0.29670329670329676,0.35604395604395606,0.4485049833887043,0.7530876695687386,0.1540298081976998,0.6527777777777779
Jose Alvarado,NOP,0.3516483516483517,0.42417582417582417,0.23588039867109634,0.678983599919012,0.3369235017950842,0.5833333333333334
Ryan Dunn,PHX,0.3516483516483517,0.35384615384615387,0.2777408637873754,0.9011945738003644,0.22962896616583447,0.5833333333333334
Duncan Robinson,DET,0.4505494505494505,0.41098901098901097,0.43388704318936877,0.9011945738003644,0.29258753368115425,0.45833333333333337
Robert Williams III,POR,0.3626373626373626,0.26373626373626374,0.3787375415282392,0.23456165215630695,0.2745098039215686,0.5694444444444444
Kristaps Porziņģis,ATL,0.3626373626373626,0.5560439560439561,0.5049833887043189,0.5061753391374773,0.5661419497376415,0.5694444444444444
Oshae Brissett,PHI,0.39560439560439564,0.3384615384615384,0.36943521594684386,0.061753391374772225,0.24808984626714536,0.5277777777777778
Talen Horton-Tucker,CHI,0.46153846153846156,0.45714285714285713,0.4026578073089701,0.7036849564689209,0.1846508394518565,0.4444444444444445
Bol Bol,PHX,0.39560439560439564,0.4483516483516483,0.3654485049833887,0.43207126948775054,0.20620454754671821,0.5277777777777778
Ulrich Chomche,TOR,0.4505494505494505,0.23736263736263735,0.3740863787375415,0.07410406964972666,0.03866335266500966,0.45833333333333337
Keshad Johnson,MIA,0.3626373626373626,0.31868131868131866,0.39335548172757473,0.1851589390564892,0.09665838166252416,0.5694444444444444
Brook Lopez,LAC,0.3076923076923077,0.34505494505494505,0.4790697674418605,0.9752986434500911,0.4105564761115714,0.638888888888889
Haywood Highsmith,MIA,0.32967032967032966,0.24395604395604395,0.4305647840531561,0.9011945738003644,0.23328631033684888,0.611111111111111
Jalen Williams,OKC,0.4065934065934066,0.5934065934065934,0.6930232558139535,0.8395424174934197,0.6219756733066771,0.513888888888889
Quinten Post,GSW,0.3406593406593406,0.432967032967033,0.4186046511627907,0.5061753391374773,0.25085151431464603,0.5972222222222222
Curtis Jones,DEN,0.38461538461538464,,,,,0.5416666666666667
Ousmane Dieng,OKC,0.29670329670329676,0.33406593406593404,0.41993355481727573,0.444421947762705,0.1358442120662502,0.638888888888889
Jae'Sean Tate,HOU,0.26373626373626374,0.27692307692307694,0.4239202657807309,0.6295808868191941,0.1349499713211395,0.6805555555555557
Khris Middleton,WAS,0.4505494505494505,0.45714285714285713,0.4159468438538206,0.444421947762705,0.37304910544347164,0.4444444444444445
Cameron Payne,NYK,0.3516483516483517,0.43956043956043955,0.5255813953488372,0.8764932172504555,0.21748135874067936,0.5694444444444444
Maxi Kleber,LAL,0.3516483516483517,0.18681318681318682,0.3787375415282392,0.4073699129378417,0.1387332066215053,0.5694444444444444
Josh Giddey,CHI,0.4945054945054945,0.4703296703296703,0.34485049833887044,0.8518930957683742,0.5573046119856393,0.3888888888888889
Jonathan Kuminga,GSW,0.38461538461538464,0.5956043956043956,0.3953488372093023,0.5679287305122495,0.42282900574074406,0.5277777777777778
Gary Payton II,GSW,0.38461538461538464,0.34285714285714286,0.41993355481727573,0.7530876695687386,0.21763725935626407,0.5277777777777778
Grant Williams,CHA,0.39560439560439564,0.32087912087912085,0.3966777408637874,0.1851589390564892,0.347970173985087,0.513888888888889
Shaedon Sharpe,POR,0.39560439560439564,0.5494505494505494,0.29833887043189367,0.8764932172504555,0.479264475743349,0.513888888888889
Mark Williams,PHX,0.37362637362637363,0.4615384615384615,0.19003322259136213,0.530876695687386,0.5456805001129773,0.5416666666666667
Mike Conley,MIN,0.39560439560439564,0.30989010989010984,0.5661129568106312,0.8642437740433286,0.2997771217195468,0.513888888888889
Grayson Allen,PHX,0.4835164835164836,0.37142857142857144,0.33754152823920264,0.7777890261186474,0.3047759596796465,0.4027777777777778
Micah Potter,IND,0.4285714285714286,0.22417582417582416,0.3209302325581395,0.4567726260376595,0.18008982688701872,0.47222222222222227
Pacome Dadiet,NYK,0.4285714285714286,,,,,0.47222222222222227
Stephon Castle,SAS,0.37362637362637363,0.5560439560439561,0.23122923588039868,0.9876493217250456,0.4147957218011531,0.5416666666666667
Spencer Jones,DEN,0.38461538461538464,0.2813186813186813,0.3601328903654485,0.23456165215630695,0.05122894228113781,0.5277777777777778
PJ Hall,CHA,0.3406593406593406,0.38681318681318677,0.38870431893687707,0.22221097388135252,0.06206485559383131,0.5833333333333334
Trentyn Flowers,CHI,0.38461538461538464,0.42637362637362636,0.386046511627907,0.061753391374772225,0.04510724477584461,0.5277777777777778
Zyon Pullin,MEM,0.39560439560439564,0.36703296703296706,0.39069767441860465,0.024701356549908893,0.0,0.513888888888889
Isaiah Stevens,MIA,0.37362637362637363,0.3142857142857142,0.3926910299003322,0.024701356549908893,0.01933167633250483,0.5416666666666667
Chaz Lanier,DET,0.4065934065934066,,,,,0.5
Chris Mañon,LAL,0.38461538461538464,,,,,0.5277777777777778
Vladislav Goldin,MIA,0.39560439560439564,,,,,0.513888888888889
LJ Cryer,GSW,0.38461538461538464,,,,,0.5277777777777778
Jevon Carter,CHI,0.38461538461538464,0.43956043956043955,0.41461794019933557,0.43207126948775054,0.12726686918899013,0.513888888888889
Derrick Jones Jr.,LAC,0.3406593406593406,0.3516483516483516,0.5554817275747508,0.9382466086252278,0.28871984132961764,0.5694444444444444
Jalen Green,PHX,0.46153846153846156,0.5868131868131868,0.5003322259136213,1.0,0.5368076464526037,0.4166666666666667
Collin Sexton,CHA,0.5054945054945055,0.5802197802197803,0.2,0.765438347843693,0.45628893184816965,0.3611111111111111
Clint Capela,HOU,0.26373626373626374,0.3516483516483516,0.33754152823920264,0.6666329216440574,0.3722226406567748,0.6666666666666667
Trey Lyles,SAC,0.37362637362637363,0.3054945054945055,0.34352159468438537,0.8395424174934197,0.24486790021172788,0.5277777777777778
Seth Lundy,ATL,0.39560439560439564,,,,,0.5
Jalen Bridges,PHX,0.37362637362637363,0.432967032967033,0.3946843853820598,0.0864547479246811,0.021748135874067938,0.5277777777777778
Yuri Collins,GSW,0.38461538461538464,0.14945054945054945,0.3867109634551495,0.012350678274954443,0.10632421982877659,0.513888888888889
Jaren Jackson Jr.,MEM,0.2417582417582418,0.6021978021978023,0.6099667774086379,0.9011945738003644,0.5898773670107555,0.6805555555555557
Cedric Coward,MEM,0.2417582417582418,,,,,0.6805555555555557
Nikola Vučević,CHI,0.43956043956043955,0.4857142857142857,0.32491694352159467,0.88884389552541,0.6180840076721409,0.4305555555555555
Trendon Watford,PHI,0.3626373626373626,0.4967032967032967,0.346843853820598,0.530876695687386,0.29920162687354074,0.5277777777777778
Jock Landale,MEM,0.4945054945054945,0.32527472527472523,0.373421926910299,0.5061753391374773,0.17306453097670993,0.3611111111111111
Ron Harper Jr.,BOS,0.37362637362637363,0.4505494505494505,0.3893687707641196,0.0,0.25131179232256284,0.513888888888889
D.J. Carton,TOR,0.37362637362637363,0.2681318681318681,0.39800664451827245,0.037052034824863335,0.03866335266500966,0.513888888888889
Johnny Furphy,IND,0.37362637362637363,0.2593406593406593,0.4046511627906977,0.6049807653371128,0.0811930405965203,0.513888888888889
Tristen Newton,MIN,0.37362637362637363,0.4065934065934066,0.3867109634551495,0.0864547479246811,0.01933167633250483,0.513888888888889
Anton Watson,NYK,0.39560439560439564,0.42417582417582417,0.3840531561461794,0.09880542619963555,0.025775568443339777,0.48611111111111116
Kobe Sanders,LAC,0.39560439560439564,,,,,0.48611111111111116
Kasparas Jakučionis,MIA,0.43956043956043955,,,,,0.4305555555555555
Peyton Watson,DEN,0.38461538461538464,0.30329670329670333,0.37275747508305646,0.8271917392184653,0.2737706515912081,0.5
Devin Vassell,SAS,0.4505494505494505,0.4769230769230769,0.2159468438538206,0.7777890261186474,0.4555026235846451,0.4166666666666667
Dru Smith,MIA,0.15384615384615385,0.2879120879120879,0.4152823920265781,0.16045758250658027,0.21541010770505384,0.7916666666666666
Isaiah Jackson,IND,0.38461538461538464,0.36043956043956044,0.3966777408637874,0.04940271309981777,0.28610880972107156,0.5
Isaiah Livers,PHX,0.4065934065934066,,,,,0.47222222222222227
Josh Christopher,MIA,0.38461538461538464,0.5164835164835164,0.3867109634551495,0.16045758250658027,0.06489919911626622,0.5
Jesse Edwards,MIN,0.38461538461538464,0.0,0.3833887043189369,0.012350678274954443,0.009665838166252416,0.5
Adou Thiero,LAL,0.4065934065934066,,,,,0.47222222222222227
Noah Penda,ORL,0.38461538461538464,,,,,0.5
Ethan Thompson,IND,0.38461538461538464,,,,,0.5
Delon Wright,NYK,0.2417582417582418,0.24395604395604395,0.39069767441860465,0.48147398258756835,0.1416045291355979,0.6666666666666667
Ben Simmons,LAC,0.3626373626373626,0.2923076923076923,0.35282392026578074,0.6173314436120673,0.280877885536982,0.513888888888889
John Konchar,MEM,0.21978021978021978,0.1692307692307692,0.42857142857142855,0.5555780522372951,0.13994452649400238,0.6944444444444445
Simone Fontecchio,MIA,0.31868131868131866,0.33406593406593404,0.40066445182724253,0.9135452520753188,0.18429531436987936,0.5694444444444444
KJ Martin,UTA,0.39560439560439564,0.24615384615384614,0.2956810631229236,0.5185260174124317,0.2077031271073775,0.47222222222222227
Chris Livingston,CLE,0.31868131868131866,0.32967032967032966,0.3707641196013289,0.2469123304312614,0.06351836509251588,0.5694444444444444
A.J. Lawson,TOR,0.4285714285714286,0.41538461538461535,0.3787375415282392,0.30866572180603363,0.2654387865655471,0.4305555555555555
Alondes Williams,DET,0.3626373626373626,0.6285714285714284,0.3940199335548173,0.0,0.115990057995029,0.513888888888889
PJ Dozier,MIN,0.3516483516483517,0.18021978021978022,0.387375415282392,0.09880542619963555,0.036515388628064686,0.5277777777777778
Nae'Qwan Tomlin,CLE,0.32967032967032966,0.5054945054945055,0.3946843853820598,0.04940271309981777,0.22424744545705605,0.5555555555555556
Jahmir Young,MIA,0.4065934065934066,0.2021978021978022,0.3853820598006645,0.061753391374772225,0.06121697505293197,0.45833333333333337
Terence Davis,SAC,0.3626373626373626,0.24395604395604395,0.38803986710963456,0.0,0.03866335266500966,0.513888888888889
DaRon Holmes II,DEN,0.39560439560439564,,,,,0.47222222222222227
Jamir Watkins,WAS,0.29670329670329676,,,,,0.5972222222222222
Javon Small,MEM,0.39560439560439564,,,,,0.47222222222222227
Ochai Agbaji,TOR,0.2857142857142857,0.31648351648351647,0.2478405315614618,0.7777890261186474,0.31444179784589893,0.611111111111111
Santi Aldama,MEM,0.4725274725274725,0.3934065934065934,0.48903654485049836,0.7901397043936019,0.42380982728952904,0.375
Chris Youngblood,OKC,0.3406593406593406,,,,,0.5416666666666667
Will Richard,GSW,0.2857142857142857,,,,,0.611111111111111
Moussa Cisse,DAL,0.3406593406593406,,,,,0.5416666666666667
DeMar DeRozan,SAC,0.4945054945054945,0.5362637362637362,0.46312292358803986,0.9382466086252278,0.5872310511912832,0.33333333333333337
Kris Murray,POR,0.2417582417582418,0.2923076923076923,0.3568106312292359,0.8395424174934197,0.15297239532677737,0.6527777777777779
Scoot Henderson,POR,0.4945054945054945,0.4835164835164835,0.3647840531561462,0.8024903826685563,0.37315993405471454,0.33333333333333337
Kevin Porter Jr.,MIL,0.27472527472527475,0.545054945054945,0.4079734219269103,0.9135452520753188,0.32554542943938136,0.611111111111111
Andrew Nembhard,IND,0.32967032967032966,0.35824175824175825,0.5255813953488372,0.7901397043936019,0.34886240520043343,0.5416666666666667
Cam Thomas,BKN,0.5714285714285715,0.7208791208791209,0.3289036544850498,0.2963150435310792,0.5652582159624413,0.2361111111111111
JT Thor,WAS,0.31868131868131866,0.29010989010989013,0.32624584717607974,0.23456165215630695,0.12855564761115715,0.5555555555555556
Eric Gordon,PHI,0.37362637362637363,0.3076923076923077,0.34219269102990035,0.4691233043126139,0.19182971129947105,0.48611111111111116
Jamaree Bouyea,PHX,0.3076923076923077,0.35824175824175825,0.39136212624584715,0.04940271309981777,0.115990057995029,0.5694444444444444
Gary Harris,MIL,0.32967032967032966,0.1978021978021978,0.44717607973421925,0.5802794087872039,0.10471324680106785,0.5416666666666667
Daniel Theis,NOP,0.38461538461538464,0.24395604395604395,0.3495016611295681,0.4567726260376595,0.20298260149130076,0.47222222222222227
Braxton Key,GSW,0.3406593406593406,0.4879120879120879,0.3847176079734219,0.024701356549908893,0.03866335266500966,0.5277777777777778
Jordan Miller,LAC,0.3626373626373626,0.3846153846153846,0.3481727574750831,0.444421947762705,0.12539465729192326,0.5
Lester Quinones,NOP,0.3626373626373626,0.4681318681318681,0.37275747508305646,0.1481069042316258,0.17844624306927537,0.5
Brandon Williams,DAL,0.39560439560439564,0.4791208791208791,0.3966777408637874,0.39501923466288724,0.23373754111119482,0.45833333333333337
Trey Alexander,NOP,0.32967032967032966,0.3626373626373626,0.373421926910299,0.28396436525612473,0.0426907852342815,0.5416666666666667
Skal Labissiere,SAC,0.3626373626373626,0.2835164835164835,0.3893687707641196,0.037052034824863335,0.043496271748135876,0.5
Emanuel Miller,CHI,0.37362637362637363,0.3142857142857142,0.3847176079734219,0.061753391374772225,0.06766086716376692,0.48611111111111116
Koby Brea,PHX,0.3626373626373626,,,,,0.5
P.J. Washington,DAL,0.27472527472527475,0.4351648351648352,0.4225913621262459,0.6913342781939664,0.4795612339326638,0.5972222222222222
LeBron James,LAL,0.4065934065934066,0.6395604395604395,0.35415282392026576,0.8518930957683742,0.740127036730185,0.4305555555555555
Sidy Cissoko,POR,0.2087912087912088,0.34285714285714286,0.3953488372093023,0.2592630087062158,0.052722753634104086,0.6805555555555557
Noah Clowney,BKN,0.39560439560439564,0.4065934065934066,0.21661129568106313,0.5555780522372951,0.26896245332180635,0.4444444444444445
Quincy Olivari,LAL,0.3626373626373626,0.5076923076923077,0.3780730897009967,0.012350678274954443,0.02899751449875725,0.48611111111111116
Hunter Dickinson,NOP,0.3516483516483517,,,,,0.5
Royce O'Neale,PHX,0.32967032967032966,0.33186813186813185,0.28704318936877077,0.9135452520753188,0.31626622479977906,0.5277777777777778
Jaden Springer,UTA,0.3406593406593406,0.3054945054945055,0.3687707641196013,0.5185260174124317,0.0953096600579308,0.513888888888889
Blake Wesley,POR,0.37362637362637363,0.3626373626373626,0.3840531561461794,0.7036849564689209,0.12698911521869555,0.47222222222222227
Adem Bona,PHI,0.31868131868131866,0.2967032967032967,0.31561461794019935,0.7036849564689209,0.21431496347932083,0.5416666666666667
Kyle Filipowski,UTA,0.4175824175824176,0.4043956043956044,0.146843853820598,0.8764932172504555,0.3323974347172359,0.4166666666666667
Kai Jones,DAL,0.3406593406593406,0.2813186813186813,0.3760797342192691,0.48147398258756835,0.17785142225904446,0.513888888888889
Alex Ducas,OKC,0.3406593406593406,0.25274725274725274,0.3754152823920266,0.2469123304312614,0.06259780907668232,0.513888888888889
Sharife Cooper,WAS,0.3406593406593406,,,,,0.513888888888889
Jahmyl Telfort,LAC,0.31868131868131866,,,,,0.5416666666666667
Zach Collins,CHI,0.3076923076923077,0.3648351648351648,0.3707641196013289,0.7777890261186474,0.24285418392709196,0.5555555555555556
Thanasis Antetokounmpo,MIL,0.3076923076923077,,,,,0.5555555555555556
Jacob Toppin,ATL,0.3076923076923077,0.3076923076923077,0.373421926910299,0.19750961733144362,0.048897769546923986,0.5555555555555556
Justin Champagnie,WAS,0.5054945054945055,0.32967032967032966,0.19867109634551494,0.7530876695687386,0.31336023732527996,0.3055555555555555
Darius Garland,CLE,0.5054945054945055,0.5824175824175825,0.7215946843853821,0.9135452520753188,0.561134125011507,0.29166666666666663
Bobby Portis,MIL,0.39560439560439564,0.5142857142857143,0.453156146179402,0.5926300870621584,0.4730342841361897,0.4305555555555555
Dario Šarić,SAC,0.31868131868131866,0.34505494505494505,0.3574750830564784,0.1851589390564892,0.14740403203534935,0.5277777777777778
Cole Anthony,MIL,0.29670329670329676,0.523076923076923,0.37940199335548175,0.8148410609435107,0.28824395009212433,0.5555555555555556
Caleb Houstan,ATL,0.3516483516483517,0.25274725274725274,0.3461794019933555,0.7036849564689209,0.1213229342246855,0.48611111111111116
Max Christie,DAL,0.37362637362637363,0.32967032967032966,0.33488372093023255,0.9505972869001823,0.28749672494494366,0.45833333333333337
Craig Porter Jr.,CLE,0.4175824175824176,0.34065934065934067,0.3601328903654485,0.6173314436120673,0.12129679267454013,0.4027777777777778
Colby Jones,DET,0.3516483516483517,0.30329670329670333,0.31561461794019935,0.4691233043126139,0.15068793859183255,0.48611111111111116
Adam Flagler,OKC,0.26373626373626374,0.4549450549450549,0.3946843853820598,0.444421947762705,0.0579950289975145,0.5972222222222222
Mason Jones,SAC,0.32967032967032966,0.42417582417582417,0.39069767441860465,0.11115610447458998,0.08312620822977078,0.513888888888889
Isaiah Wong,CHA,0.25274725274725274,0.4835164835164835,0.386046511627907,0.23456165215630695,0.16721900027616682,0.611111111111111
Matas Buzelis,CHI,0.3076923076923077,0.3978021978021978,0.3667774086378738,0.9752986434500911,0.25976940071803367,0.5416666666666667
Liam Robbins,MIL,0.2857142857142857,0.2813186813186813,0.3867109634551495,0.1481069042316258,0.031228092537123192,0.5694444444444444
Micah Peavy,NOP,0.31868131868131866,,,,,0.5277777777777778
Jase Richardson,ORL,0.37362637362637363,,,,,0.45833333333333337
Christian Wood,LAL,0.27472527472527475,,,,,0.5694444444444444
Rasheer Fleming,PHX,0.29670329670329676,,,,,0.5416666666666667
MarJon Beauchamp,NYK,0.2857142857142857,0.4879120879120879,0.39601328903654487,0.4197205912127961,0.06848936757801712,0.5555555555555556
Tim Hardaway Jr.,DEN,0.4505494505494505,0.33186813186813185,0.40664451827242526,0.9382466086252278,0.2879666591348447,0.34722222222222227
Josh Green,CHA,0.3516483516483517,0.25274725274725274,0.14817275747508304,0.8271917392184653,0.22885293305391755,0.47222222222222227
Matt Ryan,NYK,0.2417582417582418,0.45714285714285713,0.36345514950166113,0.22221097388135252,0.03866335266500966,0.611111111111111
Keldon Johnson,SAS,0.37362637362637363,0.4549450549450549,0.24584717607973422,0.9382466086252278,0.36880821470713765,0.4444444444444445
Jaxson Hayes,LAL,0.2857142857142857,0.26373626373626374,0.4478405315614618,0.678983599919012,0.2585611709472521,0.5555555555555556
Anthony Black,ORL,0.2857142857142857,0.4175824175824176,0.36345514950166113,0.9505972869001823,0.2976582471197219,0.5555555555555556
Chuma Okeke,CLE,0.3516483516483517,0.2043956043956044,0.37142857142857144,0.09880542619963555,0.25990364847034275,0.47222222222222227
Mac McClung,IND,0.3516483516483517,0.1912087912087912,0.38870431893687707,0.012350678274954443,0.03866335266500966,0.47222222222222227
Miles Norris,BOS,0.31868131868131866,0.27912087912087913,0.38073089700996676,0.024701356549908893,0.12243395010586394,0.513888888888889
Khaman Maluach,PHX,0.31868131868131866,,,,,0.513888888888889
Nique Clifford,SAC,0.3406593406593406,,,,,0.48611111111111116
Alijah Martin,TOR,0.3406593406593406,,,,,0.48611111111111116
Alec Burks,MIA,0.3516483516483517,0.3516483516483516,0.46312292358803986,0.5926300870621584,0.21343748767112478,0.45833333333333337
Justin Minaya,POR,0.2857142857142857,0.23516483516483516,0.38205980066445183,0.22221097388135252,0.03764589601593048,0.5416666666666667
Trayce Jackson-Davis,GSW,0.3516483516483517,0.36043956043956044,0.3495016611295681,0.7530876695687386,0.2612894317199847,0.45833333333333337
TyTy Washington Jr.,LAC,0.32967032967032966,0.41098901098901097,0.39136212624584715,0.1851589390564892,0.07732670533001933,0.48611111111111116
Ricky Council IV,PHI,0.4065934065934066,0.4307692307692308,0.2843853820598007,0.88884389552541,0.22138741662978137,0.3888888888888889
Pat Spencer,GSW,0.27472527472527475,0.4483516483516483,0.3787375415282392,0.4691233043126139,0.09467564562842111,0.5555555555555556
Baylor Scheierman,BOS,0.26373626373626374,0.3142857142857142,0.40930232558139534,0.37031787811297834,0.1359453367898727,0.5694444444444444
Tyson Etienne,BKN,0.3516483516483517,0.38901098901098896,0.34352159468438537,0.07410406964972666,0.19884009942004974,0.45833333333333337
Taelon Peter,IND,0.27472527472527475,,,,,0.5555555555555556
Walter Clayton Jr.,UTA,0.46153846153846156,,,,,0.3194444444444445
Hunter Sallis,PHI,0.31868131868131866,,,,,0.5
Noa Essengue,CHI,0.32967032967032966,,,,,0.48611111111111116
Lachlan Olbrich,CHI,0.2857142857142857,,,,,0.5416666666666667
Chucky Hepburn,TOR,0.31868131868131866,,,,,0.5
