Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$),Market Size
ATL,2016,0.585365854,0.731707317,83,169,0.31
ATL,2017,0.524390244,0.585365854,119,209,0.31
ATL,2018,0.292682927,0.524390244,105,215,0.31
ATL,2019,0.353658537,0.292682927,95,251,0.31
ATL,2022,0.524390244,0.569444444,121,282,0.31
ATL,2023,0.5,0.524390244,159,326,0.31
ATL,2024,0.43902439,0.5,165,353,0.31
BKN,2016,0.256097561,0.463414634,92,223,0.75
BKN,2017,0.243902439,0.256097561,96,273,0.75
BKN,2018,0.341463415,0.243902439,106,290,0.75
BKN,2019,0.512195122,0.341463415,135,304,0.75
BKN,2022,0.536585366,0.666666667,174,405,0.75
BKN,2023,0.548780488,0.536585366,187,367,0.75
BKN,2024,0.390243902,0.548780488,155,381,0.75
BOS,2016,0.585365854,0.487804878,84,200,0.42
BOS,2017,0.646341463,0.585365854,107,257,0.42
BOS,2018,0.670731707,0.646341463,114,287,0.42
BOS,2019,0.597560976,0.670731707,139,304,0.42
BOS,2022,0.62195122,0.5,137,361,0.42
BOS,2023,0.695121951,0.62195122,185,443,0.42
BOS,2024,0.780487805,0.695121951,192,457,0.42
CHA,2016,0.585365854,0.402439024,88,158,0.23
CHA,2017,0.43902439,0.585365854,115,202,0.23
CHA,2018,0.43902439,0.43902439,127,213,0.23
CHA,2019,0.475609756,0.43902439,127,240,0.23
CHA,2022,0.524390244,0.458333333,105,269,0.23
CHA,2023,0.329268293,0.524390244,165,269,0.23
CHA,2024,0.256097561,0.329268293,148,308,0.23
CHI,2016,0.512195122,0.609756098,105,232,0.43
CHI,2017,0.5,0.512195122,105,281,0.43
CHI,2018,0.329268293,0.5,96,287,0.43
CHI,2019,0.268292683,0.329268293,115,301,0.43
CHI,2022,0.56097561,0.430555556,117,352,0.43
CHI,2023,0.487804878,0.56097561,158,372,0.43
CHI,2024,0.475609756,0.487804878,171,414,0.43
CLE,2016,0.695121951,0.646341463,131,233,0.2
CLE,2017,0.62195122,0.695121951,149,280,0.2
CLE,2018,0.609756098,0.62195122,152,302,0.2
CLE,2019,0.231707317,0.609756098,137,300,0.2
CLE,2022,0.536585366,0.305555556,128,325,0.2
CLE,2023,0.62195122,0.536585366,158,348,0.2
CLE,2024,0.585365854,0.62195122,172,391,0.2
DAL,2016,0.512195122,0.609756098,86,194,0.38
DAL,2017,0.402439024,0.512195122,127,233,0.38
DAL,2018,0.292682927,0.402439024,92,287,0.38
DAL,2019,0.402439024,0.292682927,108,307,0.38
DAL,2022,0.634146341,0.583333333,117,364,0.38
DAL,2023,0.463414634,0.634146341,177,429,0.38
DAL,2024,0.609756098,0.463414634,174,437,0.38
DEN,2016,0.402439024,0.365853659,81,157,0.32
DEN,2017,0.487804878,0.402439024,95,202,0.32
DEN,2018,0.56097561,0.487804878,116,222,0.32
DEN,2019,0.658536585,0.56097561,131,252,0.32
DEN,2022,0.585365854,0.652777778,138,273,0.32
DEN,2023,0.646341463,0.585365854,171,348,0.32
DEN,2024,0.695121951,0.646341463,186,356,0.32
DET,2016,0.536585366,0.390243902,81,172,0.25
DET,2017,0.451219512,0.536585366,123,221,0.25
DET,2018,0.475609756,0.451219512,127,235,0.25
DET,2019,0.5,0.475609756,138,255,0.25
DET,2022,0.280487805,0.277777778,127,278,0.25
DET,2023,0.207317073,0.280487805,132,274,0.25
DET,2024,0.170731707,0.207317073,146,305,0.25
GSW,2016,0.890243902,0.817073171,111,305,0.54
GSW,2017,0.817073171,0.890243902,119,359,0.54
GSW,2018,0.707317073,0.817073171,147,401,0.54
GSW,2019,0.695121951,0.707317073,156,440,0.54
GSW,2022,0.646341463,0.541666667,169,765,0.54
GSW,2023,0.536585366,0.646341463,197,765,0.54
GSW,2024,0.56097561,0.536585366,215,800,0.54
HOU,2016,0.5,0.682926829,103,244,0.36
HOU,2017,0.670731707,0.5,108,296,0.36
HOU,2018,0.792682927,0.670731707,130,326,0.36
HOU,2019,0.646341463,0.792682927,146,348,0.36
HOU,2022,0.243902439,0.236111111,128,350,0.36
HOU,2023,0.268292683,0.243902439,145,381,0.36
HOU,2024,0.5,0.268292683,145,416,0.36
IND,2016,0.548780488,0.463414634,83,157,0.22
IND,2017,0.512195122,0.548780488,106,205,0.22
IND,2018,0.585365854,0.512195122,104,222,0.22
IND,2019,0.585365854,0.585365854,119,243,0.22
IND,2022,0.304878049,0.472222222,127,264,0.22
IND,2023,0.426829268,0.304878049,127,263,0.22
IND,2024,0.573170732,0.426829268,149,320,0.22
LAC,2016,0.646341463,0.682926829,116,185,0.53
LAC,2017,0.62195122,0.646341463,137,257,0.53
LAC,2018,0.512195122,0.62195122,135,258,0.53
LAC,2019,0.585365854,0.512195122,128,282,0.53
LAC,2022,0.512195122,0.652777778,169,362,0.53
LAC,2023,0.536585366,0.512195122,198,425,0.53
LAC,2024,0.62195122,0.536585366,208,353,0.53
LAL,2016,0.207317073,0.256097561,84,333,0.53
LAL,2017,0.317073171,0.207317073,108,371,0.53
LAL,2018,0.426829268,0.317073171,112,395,0.53
LAL,2019,0.451219512,0.426829268,120,434,0.53
LAL,2022,0.402439024,0.583333333,163,465,0.53
LAL,2023,0.524390244,0.402439024,177,516,0.53
LAL,2024,0.573170732,0.524390244,175,522,0.53
MEM,2016,0.512195122,0.670731707,93,156,0.15
MEM,2017,0.524390244,0.512195122,125,206,0.15
MEM,2018,0.268292683,0.524390244,121,213,0.15
MEM,2019,0.402439024,0.268292683,136,224,0.15
MEM,2022,0.682926829,0.527777778,93,272,0.15
MEM,2023,0.62195122,0.682926829,132,258,0.15
MEM,2024,0.329268293,0.62195122,169,291,0.15
MIA,2016,0.585365854,0.451219512,104,210,0.38
MIA,2017,0.5,0.585365854,104,253,0.38
MIA,2018,0.536585366,0.5,131,259,0.38
MIA,2019,0.475609756,0.536585366,144,294,0.38
MIA,2022,0.646341463,0.555555556,138,326,0.38
MIA,2023,0.536585366,0.646341463,161,371,0.38
MIA,2024,0.56097561,0.536585366,185,373,0.38
MIL,2016,0.402439024,0.5,80,146,0.21
MIL,2017,0.512195122,0.402439024,109,179,0.21
MIL,2018,0.536585366,0.512195122,127,204,0.21
MIL,2019,0.731707317,0.536585366,126,283,0.21
MIL,2022,0.62195122,0.638888889,151,352,0.21
MIL,2023,0.707317073,0.62195122,188,329,0.21
MIL,2024,0.597560976,0.707317073,194,333,0.21
MIN,2016,0.353658537,0.195121951,83,154,0.29
MIN,2017,0.37804878,0.353658537,96,204,0.29
MIN,2018,0.573170732,0.37804878,120,223,0.29
MIN,2019,0.43902439,0.573170732,132,234,0.29
MIN,2022,0.56097561,0.319444444,134,271,0.29
MIN,2023,0.512195122,0.56097561,155,259,0.29
MIN,2024,0.682926829,0.512195122,171,305,0.29
NOP,2016,0.365853659,0.548780488,93,156,0.16
NOP,2017,0.414634146,0.365853659,117,204,0.16
NOP,2018,0.585365854,0.414634146,133,214,0.16
NOP,2019,0.402439024,0.585365854,127,224,0.16
NOP,2022,0.43902439,0.430555556,121,268,0.16
NOP,2023,0.512195122,0.43902439,154,262,0.16
NOP,2024,0.597560976,0.512195122,176,272,0.16
NYK,2016,0.390243902,0.207317073,86,376,0.75
NYK,2017,0.37804878,0.390243902,117,426,0.75
NYK,2018,0.353658537,0.37804878,115,443,0.75
NYK,2019,0.207317073,0.353658537,134,472,0.75
NYK,2022,0.451219512,0.569444444,111,452,0.75
NYK,2023,0.573170732,0.451219512,156,504,0.75
NYK,2024,0.609756098,0.573170732,168,543,0.75
OKC,2016,0.670731707,0.548780488,122,187,0.17
OKC,2017,0.573170732,0.670731707,102,222,0.17
OKC,2018,0.585365854,0.573170732,146,241,0.17
OKC,2019,0.597560976,0.585365854,162,258,0.17
OKC,2022,0.292682927,0.305555556,77,274,0.17
OKC,2023,0.487804878,0.292682927,154,267,0.17
OKC,2024,0.695121951,0.487804878,163,320,0.17
ORL,2016,0.426829268,0.304878049,73,166,0.17
ORL,2017,0.353658537,0.426829268,119,211,0.17
ORL,2018,0.304878049,0.353658537,108,223,0.17
ORL,2019,0.512195122,0.304878049,120,244,0.17
ORL,2022,0.268292683,0.291666667,111,272,0.17
ORL,2023,0.414634146,0.268292683,132,261,0.17
ORL,2024,0.573170732,0.414634146,139,285,0.17
PHI,2016,0.12195122,0.219512195,73,140,0.35
PHI,2017,0.341463415,0.12195122,89,184,0.35
PHI,2018,0.634146341,0.341463415,105,268,0.35
PHI,2019,0.62195122,0.634146341,117,300,0.35
PHI,2022,0.62195122,0.680555556,143,345,0.35
PHI,2023,0.658536585,0.62195122,161,371,0.35
PHI,2024,0.573170732,0.658536585,182,396,0.35
PHX,2016,0.280487805,0.475609756,85,173,0.27
PHX,2017,0.292682927,0.280487805,96,218,0.27
PHX,2018,0.256097561,0.292682927,97,235,0.27
PHX,2019,0.231707317,0.256097561,115,246,0.27
PHX,2022,0.780487805,0.708333333,108,302,0.27
PHX,2023,0.548780488,0.780487805,179,366,0.27
PHX,2024,0.597560976,0.548780488,195,369,0.27
POR,2016,0.536585366,0.62195122,72,178,0.24
POR,2017,0.5,0.536585366,128,223,0.24
POR,2018,0.597560976,0.5,136,246,0.24
POR,2019,0.646341463,0.597560976,143,287,0.24
POR,2022,0.329268293,0.583333333,134,291,0.24
POR,2023,0.402439024,0.329268293,156,300,0.24
POR,2024,0.256097561,0.402439024,172,335,0.24
SAC,2016,0.402439024,0.353658537,84,164,0.22
SAC,2017,0.390243902,0.402439024,109,240,0.22
SAC,2018,0.329268293,0.390243902,103,263,0.22
SAC,2019,0.475609756,0.329268293,107,286,0.22
SAC,2022,0.365853659,0.430555556,141,279,0.22
SAC,2023,0.585365854,0.365853659,145,289,0.22
SAC,2024,0.56097561,0.585365854,158,320,0.22
SAS,2016,0.817073171,0.670731707,98,187,0.18
SAS,2017,0.743902439,0.817073171,123,259,0.18
SAS,2018,0.573170732,0.743902439,126,262,0.18
SAS,2019,0.585365854,0.573170732,142,285,0.18
SAS,2022,0.414634146,0.458333333,118,306,0.18
SAS,2023,0.268292683,0.414634146,110,319,0.18
SAS,2024,0.268292683,0.268292683,146,363,0.18
TOR,2016,0.682926829,0.597560976,83,193,0.19
TOR,2017,0.62195122,0.682926829,121,250,0.19
TOR,2018,0.719512195,0.62195122,127,275,0.19
TOR,2019,0.707317073,0.719512195,146,334,0.19
TOR,2022,0.585365854,0.375,137,299,0.19
TOR,2023,0.5,0.585365854,156,305,0.19
TOR,2024,0.304878049,0.5,170,341,0.19
UTA,2016,0.487804878,0.463414634,74,164,0.2
UTA,2017,0.62195122,0.487804878,95,221,0.2
UTA,2018,0.585365854,0.62195122,120,243,0.2
UTA,2019,0.609756098,0.585365854,129,258,0.2
UTA,2022,0.597560976,0.722222222,151,308,0.2
UTA,2023,0.451219512,0.597560976,154,274,0.2
UTA,2024,0.37804878,0.451219512,143,318,0.2
WAS,2016,0.5,0.56097561,95,155,0.4
WAS,2017,0.597560976,0.5,119,222,0.4
WAS,2018,0.524390244,0.597560976,136,255,0.4
WAS,2019,0.390243902,0.524390244,142,269,0.4
WAS,2022,0.426829268,0.472222222,130,291,0.4
WAS,2023,0.426829268,0.426829268,159,323,0.4
WAS,2024,0.182926829,0.426829268,155,362,0.4
